candidate_id,robust,beats_control_3pct_gate,ending_capital,capital_delta_vs_control,capital_lift_vs_control,cagr,sharpe,maximum_drawdown,worst_fold_return,capital_rotations,market_exposure,cash_days,loss_avoided_by_cash_usd,profit_missed_by_cash_usd,net_cash_edge_usd,cash_intervention_sessions,absolute_entry_threshold,absolute_exit_discount,absolute_exit_threshold,cash_reentry_premium,minimum_risk_safety,minimum_horizon_agreement,reentry_confirmation_sessions,fold_1_return,fold_1_max_drawdown,fold_2_return,fold_2_max_drawdown,fold_3_return,fold_3_max_drawdown,is_control,rank
219,False,False,16989.252941399638,-1301367.0343188106,-0.9871133068461285,0.09190686183424934,0.4917067826556381,-0.3618744923394094,-0.09387665662278233,61,0.19091507570770244,1229,103095.69299364029,151911.13941603183,-48815.44642239154,1229,0.654584,0.296764,0.3578200000000001,0.095261,0.014123,0.613066,3,-0.09387665662278233,-0.3618744923394094,0.0,0.0,0.8749382261888201,-0.10670532164969793,False,732
415,False,False,16979.419207849827,-1301376.8680523604,-0.9871207659326021,0.09180198552907481,0.9577886921902069,-0.11361714124612354,0.018770144726031557,43,0.08031599736668861,1397,143265.4331032593,199566.70874790475,-56301.275644645444,1397,0.714055,0.169654,0.544401,0.033623,0.281759,0.693667,1,0.12304449966127051,-0.11361714124612354,0.018770144726031557,0.0,0.4840538376194743,-0.06826240179331589,False,733
640,False,False,16973.570404715254,-1301382.7168554948,-0.9871252023684816,0.09173958428926277,0.7097030665432345,-0.23132472140386118,0.00032445179953599634,105,0.1672152732060566,1265,118549.00206752855,168081.99666967857,-49532.99460215002,1265,0.642213,0.18014,0.46207300000000007,0.037631,0.257088,0.006154,1,0.00032445179953599634,-0.23132472140386118,0.002483588792326241,-0.03977533646543485,0.6926027792539469,-0.11049272427042389,False,734
227,False,False,16972.59783044583,-1301383.6894297644,-0.9871259400858033,0.09172920609556434,0.8365842108613676,-0.11612885158400232,0.044618342405456035,76,0.13298222514812377,1317,144300.06910517096,203866.91702331763,-59566.84791814667,1317,0.590244,0.260634,0.32961,0.065331,0.273551,0.738249,2,0.18724418294629452,-0.11612885158400232,0.044618342405456035,-0.028868382214378707,0.36851834319643695,-0.08172532006971678,False,735
771,False,False,16938.050654822306,-1301418.2366053879,-0.9871521448196506,0.09136023623243616,0.7405939014321675,-0.19514209474618893,0.018770144726031557,75,0.11718235681369323,1341,134910.74920148763,189268.04552470607,-54357.29632321844,1341,0.726235,0.117265,0.60897,0.011836,0.19743,0.528668,1,0.07089590236395082,-0.19514209474618893,0.018770144726031557,0.0,0.5525298577601541,-0.12183817406883735,False,736
580,False,False,16854.935729115216,-1301501.3515310949,-0.9872151891776214,0.09046997591106654,0.784917156868593,-0.1642077436645435,0.0,23,0.06188281764318631,1425,138337.9991481004,192857.04017206022,-54519.04102395981,1425,0.720434,0.135892,0.584542,0.027717,0.111027,0.264051,3,0.050682331048897966,-0.1642077436645435,0.0,0.0,0.6041895091439207,-0.07862830619022865,False,737
324,False,False,16853.209869689177,-1301503.077390521,-0.9872164982770224,0.09045145111889541,0.6212539430613963,-0.16496480558918158,0.02290565124375621,86,0.18499012508229098,1238,126278.8594199271,180914.29873355545,-54635.43931362835,1238,0.659026,0.110239,0.548787,0.003878,0.154664,0.58169,3,0.092864698389578,-0.16496480558918158,0.02290565124375621,-0.010242474916387967,0.5075809929885322,-0.11390900860117703,False,738
560,False,False,16842.467713685313,-1301513.819546525,-0.987224646420364,0.09033611285650767,0.7221496794410043,-0.14145243545820696,-0.013173935353760657,128,0.19289005924950625,1226,138312.0637230184,197904.69635786474,-59592.63263484635,1226,0.545551,0.278161,0.26739,0.052244,0.285756,0.667742,2,0.2265128201293911,-0.14145243545820696,-0.013173935353760657,-0.08471715620383913,0.3915314287982876,-0.0946442885528821,False,739
875,False,False,16842.092487150843,-1301514.1947730593,-0.9872249310373057,0.09033208294956707,0.6526103973290144,-0.22406909823057253,0.018770144726031557,42,0.10467412771560237,1360,132250.92430688057,186957.8676716511,-54706.94336477053,1360,0.712962,0.178837,0.534125,0.067749,0.10434,0.017173,1,0.056434546972794264,-0.22406909823057253,0.018770144726031557,0.0,0.5648663207001157,-0.10876296640346794,False,740
670,False,False,16713.422642228794,-1301642.8646179812,-0.9873225297260406,0.08894574119500032,0.8227432560051025,-0.11361714124612354,0.02125184967129723,69,0.12244897959183673,1333,133876.0544086993,188908.64374539125,-55032.58933669195,1333,0.63703,0.182613,0.45441699999999996,0.088775,0.223964,0.452934,1,0.07660943262672548,-0.11361714124612354,0.02125184967129723,0.0,0.5201077000572683,-0.09351656975724265,False,741
